clothing_style,top_clothing,bottom_clothing,hand_accessories,head_accessories,shoes,neck_accessories,glasses
Casual Wear,Crew Neck T-Shirt,Cargo Shorts,Watches,Baseball Cap,Trainers,Necklace,Thick Frame Glasses
Casual Elegant,Slim-fit shirt,Slim-fit jeans,Black leather watch,Red and white striped cap,Black leather shoes,Yellow chain necklace,Large rectangular black glasses
Sportswear,T-shirt,Slim fit casual joggers,Cap,Cap,Sporty sneakers,Sporty sneakers,Sporty
Preppy Style,Solid Color T-Shirt,Formal Pants,Solid Color Bracelet,Formal Hat,Oxford Shoes,Solid Color Necklace,Forehead Glasses
Casual Wear,Solid T-shirt,Solid Jeans,Rings,Beaded Headband,Sneakers,Solid Necklace,Sunglasses
Business Casual,V-neck,Chinos,Casual Watch,Black Casual Hat,Black Casual Shoes,Casual Necklace,Golden Horn-Rimmed Glasses
Preppy Style,Graphic T-Shirt,Classy Fit Jeans,Stylish Watch,Baseball Cap,Classic Sneakers,Classic Necklace,Round Glasses
Formal Wear,Double-breasted jacket,White Trousers,Bracelet - Silver and leather,Bow Tie,Oxfords,Tie - Black,Square Frames - Black
Casual Wear,Basic Solid Tank Top,Basic Solid Shorts,No Accessories,No Accessories,Casual Shoes,No Accessories,No Accessories
Preppy Style,Polos,"Khakis, jeans, or chinos",A Fancy Watch,A Stylish Hat,A Casual Sneakers,A Stylish Necklace,Ray-Ban
Casual Elegant,Solid Button-Down Shirt,Solid Chinos,Straight Watch,Wool Fedora,Brown Leather Belts,Navy Turtleneck,Oval Black Framed
Casual Elegant,Slim-fit regular-length cardigan,Slim-fit regular-length trousers,Casual,Regular-length scarf,White leather regular-length dress shoes,Tie,Regular-length glasses
Business Casual,A light-colored dress shirt,Dark-colored dress pants,[None],[None],Dark-colored Dress Shoes,[None],Geometric
Sportswear,Sports Print T-Shirt,Slim Fit Sports Track Pants,Sports Bracelet,Beanie,Track Shoes,Track Jacket,Sports Glasses
Casual Elegant,T-Shirts,Jeans,"Wristwatches, Eyewear",Caps,Lace-ups,"Necklaces, Pendants, Chains, and Rings",Round
Business Casual,Casual Solid Color T-Shirt,Formal Dark Denim Jeans,Classic Watch,Leather Cap,Performance Sneakers,Stainless Steel Chain Necklace,Round Glasses
Casual Wear,Slim-fit Shirt,Slim-Fit Jeans,Metal Bracelets,Sports Cap,High-Top Sneakers,Classic Necklace,Round Glasses
Casual Elegant,Solid-colored T-shirt,Black denim jeans,Bracelet,Watch,Sneakers,Necklace,Round glasses
Casual Wear,Solid Color T-Shirt,Slim-Fit Dark Jeans,Rubber Watch,None,Sneakers,Necklace,Oval
Business Casual,Button-down Shirt,Regular Fit Pants,Rings,Dressy Cap,Oxfords,Tie,Formal
Business Casual,Solid Button Down,Khaki Chinos,Leather Belt,Baseball Cap,Tan Dress Shoes,Silk Tie,Round Glasses
Outdoor and Adventure Wear,Solid color T-shirt,Solid color track pants,Solid color cap,Solid color hat,Solid color sports shoes with Velcro,Basic Turtleneck,Black
Sportswear,Solid T-Shirt,Solid Chino Shorts,Sports Watch,Baseball Cap,Solid Sneakers,Solid Necklace,Sunglasses (White)
Casual Wear,Short Sleeve,Chino Short,Silver and leather bracelet,Baseball Cap,White Sports Shoes,None,Black Round
Casual Wear,T-Shirt,Pants,"[{'accessory_type': 'Bracelet', 'accessory_name': 'Bezel Set Diamond Bracelet'}, {'accessory_type': 'Bracelet', 'accessory_name': 'Bezel Set Diamond Bracelet'}, {'accessory_type': 'Bracelet',","[{'accessory_type': 'Sunglasses', 'accessory_name': 'Blue Mirrored Sunglasses'}, {'accessory_type': 'Sunglasses', 'accessory_name': 'Brown Mirrored Sunglasses'}, {'accessory_type':",Brown Suede Boots,"[{'accessory_type': 'Necklace', 'accessory_name': 'Classic Diamond Necklace'}, {'accessory_type': 'Necklace', 'accessory_name': 'White Gold Chain'}, {'accessory_type': 'Necklace', 'accessory_name",Sunglasses
Sportswear,3-Button Blazer,Chinos,Glove or No Accessories,No Headwear,Sneakers,No Neckwear,Aviator Sunglasses
Business Casual,Collar Shirt,Chino Pants,Wrist Watch,Headbands,Loafers,Neck Ties,Sports Glasses
Casual Wear,Casual T-shirt,Pleated Chinos,Casual Gold Watch,Casual Hat,Casual Canvas Shoes,Casual Necklace,Casual Glasses
Sportswear,Basic Polo Shirt,White Stretch Cotton Joggers,Nylon Watch,Baseball Cap,Rubber Sneakers,Polo Shirt,Basic Black Sunglasses
Streetwear,Standard Fit,Skinny Jeans,None,None,Sneakers,None,Round
Sportswear,Casual polo shirt,Olive green cargo sweatpants,Casual wristwatch,Simple baseball cap,Beige leather sneakers,Silver chain with a pendant,Brown semi-rimless glasses
Sportswear,Hoodie,Jeans,"Beanie, gloves, hat",Cap,Sneakers,None,Round
Preppy Style,Solid crew-neck t-shirt,Solid crew-neck t-shirt,Brown leather belt,Pink Beanie,Black leather casual shoes,Black leather choker,Black prescription glasses
Formal Wear,Notch Lapel,Trousers,Wedding Ring,"Fedora, Hat",Oxford Shoes,Necktie,Sunglasses
Preppy Style,Long Sleeve Sweater,Chinos,Casual Wrist Watch,Casual Hat,Casual Boots,Casual Necklaces,Casual Glasses
Casual Wear,Casual Pants,Regular Fit Jeans,Hats,Caps,Sneakers,Necklaces,Sunglasses
Sportswear,Long-sleeve,Sweatpants,"Hat, gloves, scarf",Cap,Sneakers,Necklace,Sports
Casual Elegant,Polo Shirt,Casual Fit Jeans,"Watch, Ring and Bracelet",Cap,White Sneakers,Necklace,Sunglasses
Casual Elegant,Solid button-down shirt,Dark grey tuxedo pants,Skeleton watch,Solid black tie,Dark grey leather dress shoes,Solitare diamond necklace,Solid black glasses
Indian Traditional Wear,Mandarin Collar Shirt,Suit Trousers,Watches,Cap,Formal Shoes,Necklaces,Semi-rimless
Casual Elegant,Regular Shirt,Trousers,Pocket Square & Belt,Hat,Oxford Shoes,No Neck Accessories,Sunglasses
Indian Traditional Wear,Shirt,Pajama,"Bangles, Bracelet",Cap,Slippers,Chain & Necklace,Round
Sportswear,Casual Polo Shirt,Casual Pants,Sports watch,Trucker Hat,Casual Sneakers,Necklace,Sunglasses
Business Casual,Half-sleeve Shirt,Trouser,Formal Watch,Tie,Casual Shoes,Formal Tie,Formal
Sportswear,Short Sleeve T-Shirt,Tracksuit Bottoms,Bracelet,Snapback Hat,Trainers,Chain Necklace,Sunglasses
Casual Wear,Casual,Casual,Bangle,Baseball Cap,Sneakers,Dog Tags,Regular Sunglasses
Casual Elegant,Solid White Casual Shirt with an Unbuttoned Collar,Classic Fit Jeans,Oval Ring,Leather Stitching Cap,Black Leather Oxford Shoes,Pearl Studded Necklace,Black Rectangular Glasses
Casual Wear,Solid T-Shirt,Solid Jeans,Casual Watch,N/A,Casual Shoes,N/A,Black Sunglasses
Casual Wear,Solid T-shirt,Jeans,Watch and a ring,Cap,Sneakers,Necklace,Sunglasses
Outdoor and Adventure Wear,Rugged Outdoor Wear,Long Trousers,"Rugged Belt, Rugged Bracelet",Rugged Beanie,Casual Boots,No Neck Accessories,No Glasses
Casual Elegant,Fitted shirt,Casual Trousers,Casual watch,Casual hat,Casual shoes,Casual Necklace,Sunglasses
Sportswear,Sweater,Slim fit jeans,Sunglasses,Baseball cap,Sneakers,Beanie,Sporty glasses
Outdoor and Adventure Wear,Full Sleeve Sweatshirt,Track Pants,Gloves,Hoodie,Sneakers,Scarf,Wayfarer Sunglasses
Sportswear,Round Neck T-Shirt,Straight Fit Jeans,Sports Watch,Beanie,White Running Shoes,Simple Necklace,Round Metal Frame Glasses
Sportswear,T-shirt,Trousers,Ring,Baseball cap,Sneakers,Necklace,Sunglasses
Sportswear,Sweatshirt with hood,Tracksuit bottoms,Boxing gloves,Baseball cap,Trainers,Necklace with a pendant,Sports sunglasses
Vintage and Retro Inspired,Slim fit t-shirt with a round neckline,Skinny jeans with a straight fit,Leather brown color belt,Black beanie hat with a pompom,Brown leather casual shoes with black laces,Black and white skinny tie,Black tinted sunglasses
Casual Elegant,Check Shirt,Casual Pants,Classic Watch,Classic Hat,Sneakers,Classic Necklace,Classic Glasses
Sportswear,Gray shirt,Gray jeans,Closed Hand Leather Bracelet,Grey Fedora,Gray Sneakers,Necklace,Gray Frames Glasses
Preppy Style,Solid full sleeve button-up shirt,Solid jeans or chinos,Wrist watch,Necktie,Oxford shoes,Necktie,Plastic glasses
Casual Elegant,Plaid Shirt,Jeans,Brown Leather Wallet,Brown Fedora Hat,Brown Loafers,Brown T-Bar Necklace,Brown Round Glasses
Casual Wear,Round neck T-shirt,Regular fit jeans,None,None,White Sports shoe,None,Polarized Aviator Sunglasses
Business Casual,Slim Fit Long Sleeve Shirt,Slim Fit Chinos,Classic Watch,Casual Fedora Hat,Oxfords,Classic Tie,Aviator
Outdoor and Adventure Wear,Outdoor Polo,Jeans,Wrist Watch,Beanie,Leather Shoes,Leather Necklace,Sunglasses
Business Casual,Solid Short Sleeve Shirt,Khaki Flat Front Chino Pant,Brown Saddlestitch Belt,Solid Brown Fedora Hat,Brown Leather Lace Up Shoes,Brown Plain Necktie,Brown 3-piece Glasses
Vintage and Retro Inspired,Fitted shirt with a collar,Tapered pants,Cufflinks,Vintage-style fedora hat,Low-cut leather shoes,Necktie,Vintage-style glasses
Sportswear,Casual T-Shirt,Fitted Jeans - Light Wash,Ring - Simple,Hat - Beanie,Trainers - Low Top,Necklace - Simple,Sunglasses - Oversized
Sportswear,Solid Shirt,Bermuda Shorts,Watch,Baseball Cap,Sneakers,Scarf,Round
Casual Wear,Solid Polo,Solid Chinos,Bracelet,Hat,Sneakers,Necklace,Wayfarer
Formal Wear,Collared Shirt,Trousers,Cufflinks,Hat,Formal Shoes,Tie,Semi-Rimless
Casual Wear,Sleeveless shirt with collar,Straight leg jeans,Bracelet,Cap,Sneakers,Scarf,Sunglasses
Casual Elegant,plain shirt,plain trousers,"plain ring, bracelet",plain cap,plain leather boots,"plain necklace, plain necklace",plain glasses
Business Casual,Shirt,Chinos,Wristwatch,Cap,Sneakers,Necktie,Retro Round Glasses
Casual Elegant,Sleeveless T-Shirt,Casual Trousers with Jeans,Bracelet with Wood,Cap,Sneakers,Cowl Necklace,Sunglasses
Business Casual,Shirt,Pants,Belt,Hat Cap,Loafers,Necktie,Reading Glasses
Business Casual,Solid color dress shirt with collar,Light blue denim jeans with zipper fly and front pockets,Black leather belt and brown leather shoes,Black leather watch,Black leather shoes,Blue leather necklace,Sunglasses with round lenses and metal frames
Casual Wear,Collared Casual Shirt,Casual Jeans,Leather Belt and Wrist Watch,Cap,Casual Shoes,None,Sunglasses
Streetwear,Oversized tee,Oversized joggers,Track pants,Cycling cap,Sneakers,Adidas trefoil necklace,Oversized glasses
Casual Elegant,Regular Fit Polo,Regular Fit Chino,Brown Loafers or Dark Brown Suede,Black Beanie Hat,Brown Loafers or Dark Brown Suede,Brown Leather Watch,Oval Framed Glasses
Casual Wear,Solid Red Cotton Crewneck T-Shirt,Solid Navy Suit Pants,Blue Quartz and Stainless Steel Watch,Blue Solid Fabric Beret,Blue Solid Leather Dress Shoes,Blue Leather and Gold Necklace,Brown Semi-Rimless Plastic Glasses
Casual Elegant,Crew Neck T-Shirt,Straight Leg Jeans,Hand Wrist Watch,Flat Cap,Comfortable Sneakers,Silver Necklace,Round Glasses
Sportswear,Sport T-Shirt,Sneakers,Sports Watch,Cap,Sneakers,Choker,Sporty
Casual Wear,Long sleeve t-shirt,Regular fit jeans,Watches,Sports cap,Sneakers,Choker necklace,Aviator Glasses
Vintage and Retro Inspired,Button-down shirt with collar,Chino pants,"Watches, rings","Sunglasses, hats, and caps",Moccasins,Necklaces,Classic Eyeglasses
Streetwear,Casual,Pullover jean,Ring,Cap,Trainers,Scarf,Oval
Casual Wear,Solid Collar Shirt,Solid Denim Jeans,Plain Bracelet,Beanie,Solid Sneakers,Solid Necklace,Dark Aviator Glasses
Business Casual,Solid Shirt,Solid Pants,"Ring, Watch",Cap,Boots,None,None
Indian Traditional Wear,Kurta,Pyjama,Kada,Cap,Mojaris,Chain,Horn-Rimmed
Sportswear,Round Neck T-Shirt,Slim Fit Denim Jeans,Leather Belt,Black Beanie,Casual Shoes,Turtle Neck Sweater,Round Glasses
Vintage and Retro Inspired,T-Shirt,Jeans,Belt,Hats,Sneakers,Scarf,Rimless Glasses
Business Casual,Semi-formal business shirt,Classic fit trousers,Gold watch,Formal hat,Oxford,Skinny Chain,Black Sunglasses
Casual Wear,Polos,Jeans,Belt,Hats,Oxfords,Necklace,Sunglasses
Casual Elegant,Shirt,Formal Trousers,Leather Belt,Hat,Formal Shoes,Neck Tie,Slim Aviator
Casual Wear,Slim fit top,Dark wash jeans,Black leather bracelets,Baseball cap,Sneakers,Necklace with pendants,Round glasses
Sportswear,T-shirt,Pants,Leather gloves,Pullover cap,Trainers,Scarf,Rectangular
Casual Elegant,Shirt,Pants,Ring,Cap,Boots,Necklace,Sunglasses
Casual Elegant,Solid T-Shirt,Classic Fit Jeans,Watch,Baseball Cap,White Sneakers,Necklace,Round Glasses
Vintage and Retro Inspired,Straight-leg jeans,Straight-leg jeans,Leather bracelet and watch,Hair band,Lace-up sneakers,Necklace,Wayfarer glasses
Casual Wear,Long Sleeve Shirt,Slim-fit black chinos,Minimalist watch,Slim-fit black chinos,Brown leather shoes,Collar pin,Black-framed glasses
Sportswear,Sleeveless T-shirt,Sweatpants,Bracelet,Baseball cap,Sneakers,Collar,Round
Sportswear,Shirt,Jeans,Cap,Beanie,Sneakers,Necklace,Sunglasses
Sportswear,Sporty Shirt,Sporty Pants,Sports Watch,Sports Cap,Sporty Sneakers,Sports Necklace,Classy Frames
Casual Wear,Printed T-Shirt,"Casual Pants, White Socks and Brown Leather Casual Shoes",Black Casual Watch,Blue Casual Cap,Brown Leather Casual Shoes,Black Casual Chain,Black Casual Glasses
Sportswear,Long-sleeved round neck t-shirt,Sweatpants,Sweatshirt,Baseball cap,Trainers,Necklace,Ray-Ban
Business Casual,Tailored Shirt,Trousers,Wallet,Hat,Oxfords,Tie,Aviator
Preppy Style,Button Down Collar Shirt,Khaki Trousers,Leather Bracelet,Bow Tie,Black Oxford Shoes,Gold Chain,Golden Frame Glasses
Preppy Style,Long sleeves,Bootcut Jeans,Wristwatch,Cap,Sneakers,Neck Tie,Round Glasses
Business Casual,Solid Grey Shirt,Black Pants,Metal Band Ring on Right Hand and Metal Band Ring on Left Hand,Striped Gray Fedora,Black Round Toe Lace-up Boots,Solid Silver Chain Necklace,Square Frame Full Rim Eyeglasses
Sportswear,Hoodie,Tight shorts,Baseball gloves,Baseball cap,Sneakers,Collar,Baseball style glasses
Casual Wear,Floral Print Long-Sleeve Shirt,Solid Navy Blue Jeans,Solid Platinum Ring,Basic Black Flat Headband,Solid Navy Blue Sneakers,Casual Chain Necklace,Plain Black Glasses
Casual Wear,T-shirt,Jeans,Watch and Ring,Trucker hat,Sneakers,necklace,Round
Sportswear,T-shirt,Trousers,Sunglasses,Baseball cap,Sports shoes,Scarf,Sports glasses
Business Casual,"Solid-coloured polo shirts with plain collar, short sleeves, and a button-down placket",Solid-coloured trousers,Silver ring,Silver Watch,Black Lace-up shoes,Silver Chain,Brown glasses
Casual Elegant,Button Down Shirt,Jeans,Metal Bracelet,Cap,Loafers,Necklace,Vintage
Casual Elegant,Regular fit shirt,Regular fit jeans,Handbag,Baseball cap,Regular fit shoes,Necklace,Classic
Streetwear,Ripped and distressed jeans,Skinny jeans,Leather gloves,Hipster Hat,High-top Sneakers,Scrunchy Necklace,Round Glasses
Indian Traditional Wear,Half Sleeve Kurta,Jodhpuri Pant,Silver Cufflinks,Fedora Hat,Brogues,Gold Pendant,Brown Glasses
Casual Elegant,Shirt,Jeans,Watches,Cap,Boots,Necklace,Aviator
Casual Wear,Solid T-shirt,Gray cargo pants,Purple beaded bracelet,Aviators with matte finish,White standard sneakers,White gold chain necklace,Gold-rimmed glasses
Casual Elegant,Full-Sleeve Shirt,Slim fit pants,Bracelet,Watch,Boots,Necklace,Round glasses
Casual Wear,Solid Color T-shirt,Slim fit jeans,Black leather watch,Black leather cap,Black leather boots,Black leather necklace,Black-tinted round glasses
Casual Wear,Short sleeve shirt,Dark wash jeans,Wooden bracelet,Cap,Sneakers,Necklace,Brown glasses
Business Casual,Button-Down Shirt,Chinos,Casual Watch,Casual Hat,Suede Shoes,Necktie,Semi-Rimless Glasses
Casual Elegant,Shirt,Chinos,"Belt, Watch",Hat,Sneakers,Necklace,Sporty glasses
Business Casual,Long-sleeve shirt with collar,Suit Pants,Cufflinks,Tie,Oxfords,Tie,Oval Frame Glasses
Sportswear,T-Shirt,Sweatpants,No accessories,No accessories,Sneakers,No accessories,No glasses
Sportswear,Traditional Fit,Regular Fit Jeans,Black Dress Watch,Black Dress Cap,White Dress Shoes,Black Dress Necklace,Black Dress Glasses
Casual Wear,Sweatshirt,Loose Fit Jeans,Sports Watch,Beanie,Sneakers,Chain,Sporty Glasses
Casual Wear,Sweatshirt,Chinos,Fashionable Watch,Peaked cap,Casual Shoes,N/A,Ray-Ban
Casual Elegant,Regular Fit Shirt,Slim Fit Jeans,Wooden Bracelet,Black Beanie Hat,Black Casual Shoes,None,Round Glasses
Casual Elegant,Oversized T-Shirt,Business Casual Pants,Leather Bracelet,Leather Hat,Leather Sneakers,Necklace,Round Glasses
Business Casual,A button-down shirt with a collar,Khaki pants,A watch,A suit,Oxfords,A tie,Tortoiseshell glasses
Casual Wear,A White T-shirt,White Jeans,Black Watch,Blue Cap,Black Sports Shoes,Red Necklace,Blue Tortoise Glasses
Casual Wear,Round Neck T-Shirt,Slim Fit Jeans,Black Belt,Black Cap,White Sneakers,Silver Chain,Black Sunglasses
Casual Elegant,White Collared Shirt,Blue Jeans,"Watch, Ring, Brown Dress Shoes",Black Fedora,Brown Dress Shoes,Brown Necktie,Black Framed Glasses
Casual Elegant,Slim fit solid blue polo shirt,Slim fit dark blue jeans,Silver and black leather bracelet,Black leather cap,Brown leather casual shoes,Slim fit black leather necklace,Slim fit black leather glasses
Casual Elegant,Sleeveless,Slim fit pants,a ring,a scarf,Loafers,a tie,Aviator
Sportswear,Hoodie,Tapered Chino Pants,None,None,Sneakers,None,plastic
Vintage and Retro Inspired,Slim Fit T-Shirt,Slim Fit Jeans,Brown Leather Bracelet,Brown Baseball Cap,Minimalist White Sneakers,Slim Fit Polo Neck T-Shirt,Black Aviator Sunglasses
Outdoor and Adventure Wear,Sleeveless,Slim Fit Pants,Gloves,Baseball Cap,Sneakers,Scarf,Oversized Sunglasses
Casual Elegant,Bottle Green Long Sleeve Cotton T-Shirt,Dark Black Genuine Leather Pant,Brown Leather Bracelet Watch on Wrist,Brown Leather Beanie Hat,Black Leather Lace Up Boots,Brown Leather Neckerchief,Brown Round Framed Glasses
Casual Elegant,Solid-colored T-Shirt,Solid-colored Jeans,Simple Watch,Solid-colored Beanie,Sneakers,Diamond Pendant,Simple Glasses
Indian Traditional Wear,Kurta,Pyjama,Wooden Bangles,Turban,Mojaris,Mandarin Collar,Round
Sportswear,[2] Long-sleeve T-shirt,Jeans,Flat cap,Cap,Trainers,None,Oversized frame
Casual Elegant,Casual Shirt,Pants,Watch and Bracelet,Cap,Sneakers,Necklace,Sunglasses
Casual Wear,Casual Shirt,Trousers,None,None,Sandals,None,Round
Streetwear,Dress Shirt,Slim-Fit Chino Trousers,Hooded Baseball Cap,Baseball Cap,Sneakers,Tie,Hipster
Casual Elegant,Classic,Classic,Metal Cuff Bracelet,Casual Fedora Hat,Classic Shoes,Wood Bead Necklace,Wayfarer Sunglasses
Streetwear,T-shirt,Sneakers,Watches,Hat,Sneakers,Necklaces,Oversized
Casual Wear,Solid Crew Neck T-Shirt,Slim Fit Tapered Jeans,Black Watch,Black Beanie,Black Leather Oxfords,Black Watch,Black Aviator Glasses
Business Casual,Solid color button down shirt,Gray dress pants,"Black leather belt, men's dress watch, black dress shoes",Black dress hat,Black leather dress shoes,Black leather tie,Round metal frame glasses
Business Casual,Tailored,Chinos,Watches,"Suitable head accessories for a business casual style for men include ties, bow ties, and pocket squares.",Oxfords,Ties,Semi-rimless glasses
Outdoor and Adventure Wear,Casual,Casual,None,None,Sport Shoes,None,Sunglasses
Preppy Style,Fitted Button-Down Shirt,Flat Front Chino Pants,Brown Leather Watch,Brown Fedora Hat,Brown Saddle Shoes,Brown Leather Tie,Brown Metal Rectangular Frames
Streetwear,A black tracksuit with white stripes,Black slim fit jeans,Gold ring,Black beanie,Black and white sneakers,Black necklace,Black sunglasses
Casual Elegant,Solid Blue Casual Shirt,Solid Dark Blue Jeans,Silver Metal Bangle,Solid Beige Fedora Hat,Black Casual Loafers,Solid Black Necklace,Solid Black Frames
Business Casual,Solid Collar Shirt,Solid Chino Pants,Pocket Square,Tie,Brown Oxford Shoes,Skinny Tie,Eye Wear
Streetwear,Loose fit fashionable top,Skinny fit chino pants,None,None,Lace-up leather boots,None,Clear glasses
Casual Elegant,Button Up Shirt,Casual Trousers,Wrist Watch,Male Hat,Casual Shoes,Neck Tie,Round Glasses
Streetwear,Black and grey hoodie,Black joggers,Black and White Watch,Black Beanie,Black High-Top Sneakers,Black Scarf,Black Aviator Glasses
Casual Wear,Double Breasted,Chinos,Leather Bracelet,Baseball Cap,Sneakers,Crew Neck,Round Glasses
Casual Wear,Solid Sepia Tee,Solid Black Pants,Solid Black Wrist Watch,Black Beanie,Black Casual Sneakers,Black Necklace,Black Glasses
Outdoor and Adventure Wear,Button up,Sweatpants,none,Beanie,High-top Sneakers,none,Glasses
Casual Wear,short sleeve shirt,Joggers,ring,Cap,Low top sneakers,tie,Aviator glasses
Streetwear,Printed Patterned Short Sleeve T-Shirt,Printed Patterned Baggy Jeans,Ring,Round Baseball Cap,Rubber Casual Sneakers,Necklace,Clear Square Framed
Casual Wear,Suit Vest,Trousers,Suit Gloves,Shirt Collar,Leather Boots,Tie,Round Glasses
Casual Wear,Plain T-shirt,Dark Blue Jeans,Strapped Watches,Beanie,White Sneakers,Black Thick Neck Chains,Black Frames
Business Casual,Fitted button-down shirt,Dark denim jeans,Black leather wristwatch,Blue fedora,Dark brown leather brogues,Silver necklace,Havana sunglasses
Casual Wear,Button down collar shirt,Straight cut jeans,Hat,Bow tie,Brown dress shoes,Bowtie,Classic Round
Business Casual,Shirt,Trouser,Belt,Hat,Oxfords,Necktie,Sunglasses
Casual Elegant,V-neck sweater,Fit Chinos,Leather watch,Leather Band,Brown Leather Derby Shoes,Tie,Round glasses
Streetwear,Short-sleeved Graphic T-shirt,Slim-fit Jeans,White watch,White Beanie,White Low-top Sneakers,Silver Chain,Black Square Frames Glasses
Sportswear,Crew neck t-shirt,Slim fit chino pants,Men's watch,Baseball cap,Sneakers,Necklace,Sunglasses
Sportswear,Joggers,Fitted trousers,Watches,Beanie,Sneakers,Necklaces,Formal
Business Casual,Shirt,Pants,Watch,Tie,Oxford Shoes,Necktie,Round Glasses
Casual Wear,Straight Jeans,Straight Jeans,None (No accessories),None (No accessories),Sneakers,None (No accessories),Semi-rimless glasses
Casual Elegant,Casual Elegant,Light Jeans,Soft Leather Belt,Round Cap,Casual Loafers,Simple Necklace,Rectangular Plastic Glasses
Casual Wear,Long Sleeve,Corduroy,Bracelet,Cap,High-Top Sneakers,Scarf,Round
Sportswear,Round Neck T-Shirt,Slim Fit Jeans,Bracelet,Cap,White Sneakers,No Necklace,Round Frames Glasses
Business Casual,Long Sleeve Shirt,Pants,Casual Watch,Business Casual Cap,Derby Shoes,Necklace,Sunglasses
Preppy Style,Slim-fit or Regular,Chino Pants,Wristwatch,Beanie,Sneakers,Necklace,Round Glasses
Casual Elegant,Turtleneck Sweater,Dark Denim Jeans,Black Leather Watch,Black Leather Fedora Hat,Brown Leather Boots,Brown Leather Necklace,Round Tortoise Blue Glasses
Sportswear,Classic Fit,Straight fit,Rings,Baseball cap,Trainers,Chain,Round
Preppy Style,Solid button-down shirt with a colorful tie,Dark wash jeans with a belt,A dress watch and a nice pair of cufflinks,A simple tie pin,Brown leather shoes,A solitary necklace,Sunglasses with a tortoise shell frame
Vintage and Retro Inspired,Oversized Shirting Button Up,Oversized Loose Fit Straight Leg Jeans,Gold Plated Bracelet,Chain Link Bracelet,Oxford Shoes,Chain Link Necklace,Aviator Sunglasses
Indian Traditional Wear,Kurta,Nagar Baniyan with Short Kurta,Anklet,Turban,Footwear,Buttons,Sunglasses
Casual Wear,Solid Blue Short Sleeve T-Shirt,Blue Jeans,Black Leather Waist Bag,Blue Solid Cap,Black Leather Shoes,Black Stripe Necklace,Black Classic Glasses
Casual Wear,T-shirt,Jeans,None,None,Fashion Sneakers,None,None
Casual Wear,T-Shirt,Regular Jeans,None,None,Regular Sneakers,None,Rectangle Frames
Sportswear,"[('Sporty', 0.9995), ('Fashionable', 0.0003), ('Classic', 0.0002)]","[('Fashionable', 1.0), ('Sporty', 0.0), ('Classic', 0.0)]","[('Sporty', 0.9977), ('Fashionable', 0.0003), ('Classic', 0.002)]","[('Sporty', 0.9997), ('Fashionable', 0.0003), ('Classic', 0.000)]","[('Sporty', 0.9849), ('Fashionable', 0.0144), ('Classic', 0.0007)]","[('Sporty', 0.9765), ('Fashionable', 0.0224), ('Classic', 0.0011)]",['Modern']
Outdoor and Adventure Wear,"Buy Now: Men's Wool Hoodie, Casual, Navy Blue, S, Dressy Casual","Buy Now: Men's Long Sleeve Cotton T-Shirt, Casual, Navy Blue, S, Dressy Casual","Buy Now: Men's Leather Watch Band, Silver","Buy Now: Men's Knit Beanie, Grey, 1, Dressy Casual","Buy Now: Men's Suede Chelsea Boots, Grey, 9.5 M US","Buy Now: Men's Leather Watch Band, Silver","Buy Now: Men's Tortoiseshell Wayfarer Sunglasses, Dark Tortoise"
Casual Wear,Cotton T-Shirt,Slim Fit Jeans,Watches,Hats,Formal Shoes,Necklace,Aviator Sunglasses
Business Casual,Solid High Neck Blouse,Solid Straight Cut Pants,Solid Watch,Solid Hat,Solid High Heels,Solid Necklace,Solid Glasses
Sportswear,Short sleeve tee,"Short, casual",No accessories needed,No accessories needed,Sneakers,No accessories needed,No accessories needed
Outdoor and Adventure Wear,Solid Color Tee,Solid Color Pants,Fingerless Gloves,Beanie,Sport Shoes,Necklace,Sunglasses
Vintage and Retro Inspired,Button Up Shirt,Jeans,Silver watch,Baseball Cap,Low Heeled Brown Shoes,Silver Necklace,Wayfarer Glasses
Casual Wear,Full-sleeved Shirt,Full-length Pants,Watch and Ring,Cap (Baseball),Sneakers,Necklace,Sunglasses (Oversized)
Sportswear,T-shirt,Cargo shorts,Fingerless Gloves,Baseball Cap,Sneakers,Scarf,Sunglasses
Sportswear,Sleeveless T-Shirt,Sleeveless T-Shirt,Ring,Cap,Sneakers,Scarf,Sunglasses
Streetwear,Sleeveless T-Shirt,Slim-Fit Jeans,Chunky Chain Necklace,White Fedora,Canvas High-Tops,Gold Necklace,Sunglasses
Vintage and Retro Inspired,Slim Fit Casual Shirt,Gingham Pants,Mens Leather Belt,Plain Hair,Canvas Sneakers,Layered Necklaces,Rectangle Glasses
Vintage and Retro Inspired,Printed T-Shirt,Slim-fit Jeans,Red Bandana Cap,Black Baseball Cap,Black Chukka Boots,Shiny Metal Necklace,Black Nerdy Glasses
Streetwear,Slim T-shirt,Jogger,Bracelet,Baseball cap,Sneakers,None,Glasses with large round frames
Business Casual,Solid Polo,Black Tapered Fit Pants,Black Leather Belt,Blue Denim Cap,Burgundy Leather Dress Shoe,Solid Gold Chain Necklace,Black Full Rim
Business Casual,Button-Down,Trouser,Simple Watch,Simple Watch,Oxford,Simple Watch,Classic
Business Casual,Solid front workshirt,Solid front pleated chinos,Leather belt,Leather cap,Brown leather boots,Silver necklace,Black rectangular frame sunglasses
Sportswear,Polo shirt,Cargo Pants,Wrist Watch,Baseball Cap,Chukka Boots,Necklace,Aviator Sunglasses
