body_type,additional_features,dress_type,sleeve_type,necklace,bracelet,earrings,dress_design,accessory_design
Apple-shaped,optional,party wear,short length,choker,stacks,drop earrings,Full-sleeved,Choker with bangle
Pear-shaped,busted,kurti,one shouldered,choker,stacks,studs,belly tapered,bohemian
Apple-shaped,busted,kurti,sleeveless,choker,stacks,jhumka,crop-top,Fun
Apple-shaped,busted,t shirt,short length,choker,charms,studs,dress design with empire waist and v-neckline,simple accessories
Rectangle,busted,party wear,mid length,rounded,stacks,studs,"long, plunging neckline",matching
Hourglass,optional,party wear,mid length,choker,stacks,studs,This party wear dress is sleeveless and has a V-neckline and is suitable for hourglass body type.,"This outfit is paired with a diamond choker necklace, stacked bracelet, and stud earrings."
Rectangle,optional,party wear,short length,v shape,bangles,studs,straight,"bangles, studs, v shape"
Apple-shaped,broad shoulders,party wear,short length,choker,stacks,studs,Split Sleeves,Classic
Hourglass,broad shoulders,party wear,short length,rounded,stacks,drop earrings,Fitted,Modern
Pear-shaped,busted,party wear,short length,v shape,bangles,studs,tall collar and sleeveless with an A-line and gathered at the waist,"bracelet: beaded, earrings: studs, necklace: v shape"
Apple-shaped,optional,party wear,one shouldered,v shape,charms,jhumka,straight cut with long slit,long
Apple-shaped,broad shoulders,party wear,mid length,rounded,stacks,drop earrings,"The dress design is a strapless, fitted body-con dress with a sweetheart neckline",The accessory design is a stack of bracelets and a pair of drop earrings
Apple-shaped,optional,kurti,short length,choker,bangles,studs,A-line dresses with short sleeves,A choker with matching bangles and studs
Rectangle,broad shoulders,t shirt,mid length,v shape,charms,studs,Casual,Boho
Hourglass,optional,party wear,puffy shoulder,rounded,bangles,studs,An off-shoulder dress with a V-neckline,"A necklace with a round pendant, bangles with tassels, and stud earrings with a diamond accent"
Apple-shaped,busted,t shirt,short length,choker,stacks,jhumka,"A dress with a V-neckline and short sleeves would be a good choice for an apple-shaped body type, especially if it is a t-shirt style dress.",A simple and elegant look
Pear-shaped,optional,t shirt,mid length,choker,stacks,jhumka,"It is a deep neck, short sleeve, straight dress with vertical stripes and a plunging neckline","It is a necklace with a pendant that is designed to drape around the neck, and it is made of silver. The bracelet is made of gold, and it has a design that is in the shape of a circle. The earring is made of silver, and it has a design that is in the"
Pear-shaped,busted,party wear,short length,rounded,bangles,studs,Halter neck,"Thin necklace, knotted bracelet, stud earrings"
Apple-shaped,optional,kurti,full length,rounded,charms,jhumka,Straight design,Floral design
Pear-shaped,busted,t shirt,short length,choker,stacks,drop earrings,fitted,"large hoops, stacked bangles, and a choker necklace"
Inverted triangle,optional,party wear,mid length,choker,bangles,studs,"Fitted bottom, V-neck",Golden jewelry
Apple-shaped,busted,party wear,short length,choker,bangles,jhumka,"empire waistline, one shoulder, one shoulder strap",bohemian style
Inverted triangle,busted,crop top,mid length,v shape,stacks,studs,This dress design is suitable for an inverted triangle body type with a crop top and mid length sleeves,"This accessory design is suitable for a v shape necklace, stacks bracelet, and studs earrings"
Pear-shaped,optional,party wear,sleeveless,v shape,stacks,drop earrings,High slit dress,"Diamond stud earrings, stacks of bracelets, and a V shape necklace"
Pear-shaped,broad shoulders,kurti,mid length,v shape,bangles,studs,Fitted kurti with mid length sleeves,Simple jewelry
Apple-shaped,optional,t shirt,full length,rounded,stacks,jhumka,fit and flare,"necklace: gold chain, bracelet: golden bangle, earrings: studs"
Rectangle,optional,party wear,full length,rounded,bangles,jhumka,classic,Pearl
Rectangle,optional,kurti,short length,v shape,bangles,drop earrings,round neckline with open sleeves,"Silver drop earrings, silver v shaped necklace, silver bangles"
Apple-shaped,busted,kurti,puffy shoulder,choker,stacks,studs,Fitted body with side slit,Gold with precious stones
Apple-shaped,optional,t shirt,one shouldered,choker,bangles,drop earrings,bohemian style,charming
Rectangle,broad shoulders,party wear,full length,choker,bangles,studs,tailored,Old school
Rectangle,broad shoulders,kurti,short length,choker,stacks,jhumka,"Fitted and straight, with a high neckline and short sleeves.","A choker necklace, stacked bracelets, and jhumka earrings"
Rectangle,optional,party wear,one shouldered,rounded,charms,drop earrings,High slit short party dress with one shoulder,Layered necklace with charms bracelet and drop earrings
Apple-shaped,broad shoulders,t shirt,short length,choker,stacks,jhumka,t shirt,metallic accessories
Pear-shaped,busted,party wear,full length,rounded,stacks,jhumka,"long, loose, and open","The accessory design suitable for the given necklace, bracelet, and earrings is a long, layered necklace with a pendant, stacked bangles, and hoop earrings."
Pear-shaped,optional,party wear,puffy shoulder,rounded,charms,studs,"Suitable dress design for the given body type, dress type, and sleeve type is a structured sheath dress with a puffy shoulder sleeve.","Suitable accessory design for the given necklace, bracelet, and earrings is a statement necklace with small beads, a charm bracelet with small charms, and stud earrings."
Hourglass,busted,party wear,short length,rounded,stacks,studs,Classy,golden
Hourglass,broad shoulders,crop top,puffy shoulder,v shape,stacks,drop earrings,Bold Design,Mismatched accessories
Apple-shaped,broad shoulders,crop top,sleeveless,rounded,charms,drop earrings,Bodycon,Modern
Hourglass,busted,crop top,short length,v shape,bangles,studs,Crop top,Hoop earrings
Rectangle,busted,party wear,puffy shoulder,choker,stacks,drop earrings,"A-line, puffed sleeves, peplum hem",simple
Rectangle,busted,kurti,puffy shoulder,rounded,stacks,drop earrings,Stripes,Gold
Inverted triangle,busted,party wear,short length,rounded,stacks,studs,3/4 length sleeves with embroidery,Gold and silver
Hourglass,broad shoulders,t shirt,short length,choker,stacks,studs,Tight fitting dress,Accents like rings and cuffs
Hourglass,optional,kurti,mid length,choker,stacks,studs,Tight,Bohemian
Hourglass,broad shoulders,party wear,one shouldered,rounded,stacks,drop earrings,The dress design should be a body-hugging style with a one-shouldered sleeve. It should emphasize the broad shoulders and hourglass figure. The neckline should be low and the hemline should be midi or maxi length.,"The accessory design should be a statement piece that complements the necklace, bracelet, and earrings. A choker necklace with a pendant or a statement bracelet with a bold design would be perfect. The earrings should match the necklace and bracelet. A pair of dangling earrings"
Apple-shaped,broad shoulders,party wear,puffy shoulder,v shape,charms,drop earrings,straight,simple
Apple-shaped,optional,t shirt,short length,choker,bangles,studs,Straight cap sleeve,"Necklace: choker, bracelet: bangles, earrings: studs"
Apple-shaped,optional,crop top,short length,choker,bangles,studs,Half sleeves,Earrings and bracelet look good
Hourglass,optional,kurti,short length,v shape,stacks,studs,The dress design should be a one-shoulder kurti that accentuates the hourglass body type. The short length sleeve adds a touch of elegance to the outfit.,"The accessory design should be a pair of stud earrings, a v-shaped necklace, and a stack of bangles on one arm."
Rectangle,busted,party wear,short length,rounded,charms,drop earrings,slim fit,"Heavy necklace with charms, bracelet with charms, earrings with drop earrings"
Hourglass,optional,party wear,short length,v shape,stacks,drop earrings,V-Neckline,Gold and Pearl
Apple-shaped,optional,crop top,mid length,v shape,charms,studs,Halter neck crop top,Semi-precious stones
Pear-shaped,optional,party wear,short length,choker,stacks,jhumka,Straight skirt,"Small studs, neck pieces and cuffs"
Inverted triangle,busted,t shirt,short length,v shape,stacks,studs,fitted dress with v shape neckline,A couple of bracelets and earrings
Hourglass,optional,t shirt,short length,rounded,stacks,drop earrings,"Sleeveless, one-shoulder, asymmetrical, v-neck, off-shoulder, deep-neck, halter-neck, one-strapped, strapless, tube, turtleneck, cowl neck, empire waist","A classic look with a timeless necklace, bracelet, and earrings"
Inverted triangle,busted,kurti,puffy shoulder,rounded,stacks,drop earrings,"This kurti is suitable for the given body type, dress type, and sleeve type","This necklace, bracelet and earrings combination is suitable for a casual outfit."
Rectangle,optional,t shirt,short length,v shape,charms,jhumka,A-line dress with spaghetti straps,Hoop earrings with a drop pendant and multi-strand bracelet with charms
Apple-shaped,busted,party wear,short length,rounded,bangles,jhumka,Bell sleeves,Antique
Pear-shaped,optional,t shirt,full length,v shape,bangles,studs,Classic,Classic
Inverted triangle,optional,party wear,full length,v shape,bangles,studs,Straight cut dress,gold with diamonds
Hourglass,broad shoulders,party wear,sleeveless,rounded,bangles,drop earrings,Straight,Black and white collared dress with a wide black necklace and matching bracelets.
Pear-shaped,busted,party wear,full length,v shape,stacks,studs,"Tight fitting, strapless, body-con, one shoulder, halter neck, mermaid, sheath, empire waist",Vintage
Rectangle,broad shoulders,party wear,short length,rounded,stacks,drop earrings,Straight cut with asymmetric hemline,"Necklace: Pearl, bracelet: Bangle, earrings: studs"
Apple-shaped,optional,t shirt,mid length,rounded,stacks,jhumka,Dresses with a fitted waistline and a flared skirt,Statement and hoop earrings with jhumka
Hourglass,optional,party wear,mid length,v shape,charms,drop earrings,"Suitable dress design for hourglass body type, party wear dress, and mid length sleeve is off shoulder dress with embellishments","Accessory design suitable for the given necklace, bracelet, and earrings is a bracelet with charms and dangling earrings with drop earrings."
Hourglass,broad shoulders,t shirt,short length,rounded,stacks,drop earrings,"A dress with a v-neckline, a cinched waist, and an a-line skirt",minimal and delicate
Apple-shaped,optional,kurti,full length,choker,bangles,studs,Printed Design,Casual
Apple-shaped,optional,kurti,one shouldered,rounded,stacks,studs,Straight hemline,simple and minimal
Pear-shaped,optional,crop top,sleeveless,v shape,stacks,jhumka,High Waist,Long Dangle Earrings
Inverted triangle,busted,t shirt,short length,rounded,stacks,jhumka,rounded neck,Earrings and necklace with bracelet
Apple-shaped,optional,party wear,puffy shoulder,v shape,bangles,studs,Fitted knee length dress,Simple
Hourglass,optional,crop top,puffy shoulder,choker,bangles,studs,loose dress with puffy shoulder,Nude makeup
Hourglass,busted,party wear,puffy shoulder,v shape,charms,drop earrings,"The dress design that is suitable for the given body type, dress type, and sleeve type is a body-hugging and one-shoulder dress with a puffy sleeve and a V-neckline.","The accessory design that is suitable for the given necklace, bracelet, and earrings is a combination of a V-neckline necklace, a charms bracelet, and drop earrings."
Apple-shaped,busted,party wear,mid length,v shape,charms,studs,Pleated Design,Simple
Apple-shaped,busted,kurti,one shouldered,rounded,bangles,studs,Very Fitted,Simple
Apple-shaped,optional,party wear,full length,rounded,stacks,drop earrings,"A strapless, full-length dress with a round neckline and drop earrings would best suit an Apple-shaped woman wearing a party wear dress with full-length sleeves.","A bracelet with a stacked design would be a good choice to go with a strapless, full-length dress with a round neckline and drop earrings."
Inverted triangle,busted,party wear,full length,v shape,bangles,studs,A line dress with V neckline and long sleeves,casual
Pear-shaped,busted,kurti,sleeveless,choker,bangles,studs,"Suitable for any occasion, Dress is a neat and tidy dress with asymmetric hemline and v-neck.","Earrings: studs, Necklace: choker, Bracelet: bangles"
Apple-shaped,optional,kurti,mid length,rounded,stacks,drop earrings,"body type: Apple-shaped, dress type: kurti, sleeve type: mid length",diamond and pearl earrings
Hourglass,busted,t shirt,short length,rounded,charms,drop earrings,relaxed,Golden
Hourglass,busted,t shirt,mid length,rounded,bangles,jhumka,Straight dress design,Simple and elegant
Pear-shaped,busted,party wear,full length,rounded,stacks,drop earrings,"The dress design suitable for the given body type, dress type, and sleeve type is a dress with a flared skirt, a sweetheart neckline, and a full-length sleeve.","The accessory design suitable for the given necklace, bracelet, and earrings is a pair of diamond stud earrings, a diamond bracelet, and a pendant necklace."
Apple-shaped,broad shoulders,party wear,puffy shoulder,rounded,stacks,jhumka,designs with high neckline and no neckline decorations,"earrings: diamond studs, bracelet: beaded, necklace: diamond"
Inverted triangle,busted,t shirt,short length,rounded,stacks,studs,A-line,casual
Hourglass,busted,party wear,one shouldered,choker,stacks,studs,Fitted,Classic
Pear-shaped,optional,party wear,puffy shoulder,choker,stacks,jhumka,Fitted,"Bracelet: stacks, earrings: jhumka, necklace: choker"
Apple-shaped,optional,t shirt,sleeveless,rounded,stacks,drop earrings,Choose a dress that emphasizes the shoulders and chest area to create a balanced look.,"Choose a necklace that complements the rounded necklace style. For bracelets, opt for stacked bangles or cuffs that add texture and dimension to the look."
Rectangle,optional,kurti,full length,v shape,stacks,drop earrings,Long button down kurti with v neckline and full length sleeves,A single strand of pearls
Hourglass,busted,party wear,short length,v shape,stacks,jhumka,A-lined dress with v-neckline,high-end
Inverted triangle,busted,t shirt,short length,choker,stacks,jhumka,body-con,boho
Apple-shaped,optional,party wear,short length,rounded,bangles,studs,"High Neck, Asymmetrical, Turtleneck, Collar, Fun, Elegant, Ruffles, Pleated, Tulip, Puff Sleeve",Elegant
Pear-shaped,optional,party wear,one shouldered,v shape,stacks,studs,"V-neckline, one shoulder style",simple
Apple-shaped,optional,crop top,one shouldered,rounded,bangles,drop earrings,"This dress has a crop top design with a one-shouldered sleeve. It is suitable for the apple-shaped body type and can be accessorized with a rounded necklace, bangles, and drop earrings.",A bangle and drop earrings
Pear-shaped,optional,t shirt,mid length,v shape,stacks,studs,Gathered shoulder dress,Brown
Pear-shaped,busted,party wear,full length,rounded,stacks,drop earrings,Body fitting,Simple
Rectangle,optional,t shirt,puffy shoulder,rounded,bangles,studs,Half Rounded Neck,"Bangles, studs, and rounded necklace"
Rectangle,optional,party wear,mid length,rounded,charms,studs,Ball gown,boho
Rectangle,optional,t shirt,short length,rounded,stacks,studs,plain,basic
Pear-shaped,busted,crop top,short length,rounded,stacks,drop earrings,Fitted bodice with side cutouts,"Earrings with a drop-shaped design, bracelet with a stack design, and a necklace with a rounded design"
Apple-shaped,broad shoulders,party wear,puffy shoulder,choker,stacks,drop earrings,Tiered dress with a puffy shoulder sleeve,"Wear a simple necklace, choker necklace with a pendant or a necklace with a long chain"
Rectangle,busted,t shirt,full length,choker,charms,studs,Fitted,"Single-strand pearl necklace, charm bracelet, and stud earrings"
Hourglass,optional,party wear,mid length,rounded,bangles,studs,Straight dress with floral print design,"Pearl earrings, bangles, and a necklace with round pearls"
Hourglass,busted,party wear,full length,rounded,bangles,studs,full length,Classic
Inverted triangle,optional,party wear,sleeveless,rounded,stacks,drop earrings,bell sleeves,simple
Rectangle,optional,kurti,mid length,rounded,stacks,drop earrings,classic,fancy
Rectangle,optional,party wear,short length,v shape,bangles,studs,Crop top,"Red small stone studs, bangle, and v-shape necklace"
Pear-shaped,optional,t shirt,full length,choker,stacks,drop earrings,This dress design is suitable for pear-shaped body types. It is a t-shirt with full-length sleeves. The neckline is a crew neck and the dress is made of cotton.,"The accessory design suitable for the given necklace, bracelet, and earrings is a pair of choker necklace, stacks of bracelets, and drop earrings."
Pear-shaped,optional,kurti,short length,choker,bangles,drop earrings,Dress Design: Ethnic Printed Kurti,Accessory Design: Dangling Earrings
Rectangle,optional,t shirt,full length,v shape,stacks,drop earrings,"The dress design should be based on a rectangle body type, with a t-shirt style dress, and full-length sleeves. To complement the dress design, necklace can be worn in the form of a v shape, bracelet as stacks, and earrings as drop earrings.","The accessory design should be based on a v shape necklace, stacks bracelet, and drop earrings. This combination of accessories can create a balanced and elegant look."
Rectangle,optional,kurti,short length,rounded,stacks,jhumka,Half and Half Kurti,Classy and Elegant
Pear-shaped,optional,party wear,short length,rounded,bangles,jhumka,Ambitious,Party wear
Hourglass,optional,t shirt,sleeveless,v shape,bangles,drop earrings,fitted,"v shape, bangles, drop earrings"
Hourglass,busted,party wear,puffy shoulder,v shape,charms,drop earrings,"Suitable for hourglass body type, party wear dress type, puffy shoulder sleeve type","A necklace with a V shape, a bracelet with charms, and drop earrings are suitable"
Inverted triangle,busted,t shirt,mid length,choker,stacks,drop earrings,A simple dress design with a boat neckline and short sleeves,Straightforward
Rectangle,busted,kurti,full length,v shape,bangles,drop earrings,Crew neck kurti,Assorted
Rectangle,optional,t shirt,mid length,v shape,stacks,jhumka,casual,basic
Apple-shaped,broad shoulders,party wear,full length,rounded,stacks,studs,High Neck,simple
Hourglass,optional,t shirt,full length,rounded,bangles,drop earrings,Tight at the top with loose bottom and rounded neckline,Bangles and drop earrings
Hourglass,busted,party wear,mid length,v shape,stacks,jhumka,Suitable for hourglass and party wear with mid length sleeves :,"Suitable for v shape necklace, stacks bracelet, and jhumka earrings"
Pear-shaped,optional,party wear,sleeveless,v shape,bangles,jhumka,A-line design with a deep v neckline,Chandelier earrings and bangles
Hourglass,busted,party wear,short length,choker,stacks,jhumka,Bust Darts,Wear a choker with shoulder-duster earrings and a pair of stacks.
Inverted triangle,optional,party wear,puffy shoulder,v shape,bangles,studs,"half sleeve, v neck, no pleats, front slit, back slit",simple
Rectangle,busted,crop top,puffy shoulder,choker,bangles,drop earrings,Leopard Print,Golden
Rectangle,optional,party wear,full length,rounded,charms,drop earrings,Tiered dress,Modern and trendy
Pear-shaped,optional,t shirt,mid length,rounded,stacks,studs,Full sleeve asymmetric shirt dress,Bright beaded choker and delicate stud earrings
Apple-shaped,optional,party wear,short length,choker,stacks,drop earrings,Deep-V neckline,Small dangling earrings
Inverted triangle,broad shoulders,kurti,full length,choker,bangles,studs,dress design with draping at the front,"necklace with a pendant, bracelet with a chain, and earrings with a stud design"
Apple-shaped,busted,party wear,short length,rounded,bangles,drop earrings,long length with v neckline,simple
Hourglass,busted,party wear,short length,rounded,bangles,jhumka,Fitted bodice,Dainty
Inverted triangle,busted,party wear,short length,choker,stacks,drop earrings,Cold shoulder dress design,Classy
Apple-shaped,busted,t shirt,mid length,choker,stacks,drop earrings,A-line,Minimalist
Inverted triangle,optional,party wear,sleeveless,rounded,stacks,studs,Straight cut mini dress with round neckline,Red gems in a row
Pear-shaped,optional,party wear,short length,rounded,stacks,drop earrings,cold shoulder,Mismatched jewelry
Pear-shaped,optional,party wear,short length,rounded,stacks,jhumka,A-line dress with cap sleeves,Bold and sassy
Hourglass,optional,crop top,sleeveless,rounded,bangles,drop earrings,Ruffled neckline with deep-V cut at front and back,Casual
Apple-shaped,busted,party wear,puffy shoulder,rounded,charms,studs,"High neckline, straight hem, back slit","Short scattered earrings, bracelet: long, thin, semi-circular"
Apple-shaped,broad shoulders,party wear,sleeveless,choker,stacks,jhumka,Empire waist dress,Glittery
Pear-shaped,broad shoulders,t shirt,full length,rounded,bangles,studs,tulip,Classic with pearl chain
Pear-shaped,busted,party wear,mid length,v shape,stacks,drop earrings,Fitted with mid length sleeves,Golden and silver jewelry
Pear-shaped,optional,party wear,short length,rounded,stacks,drop earrings,A-line dress,matching
Inverted triangle,broad shoulders,party wear,full length,rounded,bangles,jhumka,Ombre with high collar and fluted sleeves,Jhumka with pearl earrings and bangles
Apple-shaped,busted,party wear,short length,v shape,charms,studs,Fitted Knee Length Party Wear Dress With Short Length Sleeves,"Pearl, gold, and rhinestone necklace, bracelet, and earrings"
Rectangle,optional,party wear,mid length,rounded,stacks,drop earrings,"Long sleeve, fitted top, gathered skirt",Semi precious stones
Rectangle,busted,party wear,short length,rounded,charms,jhumka,Square neckline with pleats,Casual
Pear-shaped,optional,party wear,short length,rounded,stacks,jhumka,Tiered dress with a plunging neckline,Elegant and graceful
Hourglass,optional,party wear,short length,v shape,charms,studs,Bodycon,Floral designs
Pear-shaped,broad shoulders,party wear,mid length,v shape,bangles,jhumka,slit on both sides,"Gold necklace, bracelet, and earrings"
Apple-shaped,busted,party wear,mid length,choker,bangles,studs,A-line style,Chick style
Inverted triangle,busted,t shirt,mid length,rounded,bangles,studs,Double pleated mid length sleeves,Elegant
Apple-shaped,broad shoulders,party wear,full length,rounded,stacks,studs,boat neckline,Studs
Apple-shaped,optional,party wear,short length,choker,bangles,drop earrings,Straight collar neckline,Contemporary
Inverted triangle,optional,party wear,mid length,choker,stacks,drop earrings,"Suitable dress design for above body type, dress type, and sleeve type is one shoulder dress","Suitable accessory design for above necklace, bracelet, and earrings is one statement necklace, stacked bracelets, and drop earrings"
Pear-shaped,optional,t shirt,full length,rounded,charms,jhumka,Gathered design with a round neck,Attractive hoops with a chain
Pear-shaped,broad shoulders,party wear,full length,rounded,charms,jhumka,"chiffon, floral",simple
Pear-shaped,optional,party wear,sleeveless,choker,bangles,drop earrings,Short cocktail dresses with dramatic necklines and sleeveless designs.,"The accessory design should be minimalistic and complement the necklace, bracelet, and earrings. Think about a pair of statement earrings or a simple necklace that can be dressed up with the right bracelet."
Pear-shaped,busted,crop top,sleeveless,choker,stacks,drop earrings,A-line,Gothic
Pear-shaped,optional,kurti,mid length,choker,bangles,jhumka,Checkered print,Half-sleeved Kurti
Hourglass,busted,t shirt,full length,choker,bangles,drop earrings,Straight dress with A-line sleeves,Gold jewelry with shells
Inverted triangle,optional,t shirt,short length,choker,charms,drop earrings,button front,Mismatched
Rectangle,broad shoulders,party wear,one shouldered,choker,charms,studs,A-line dress,"Wear a gold choker necklace, gold bracelet, and gold stud earrings"
Rectangle,optional,crop top,sleeveless,choker,stacks,jhumka,tube top,matching set
Apple-shaped,optional,kurti,full length,v shape,charms,studs,"Crafted with elegance and grace, the sleeveless dress design is a captivating choice for those seeking an effortless and stylish look. Its sleeveless silhouette showcases your shoulders and arms, adding an air of sophistication to your ensemble.","Adorn your neck with a delicate pendant necklace, while the bracelet accentuates your wrist with a bangle or a stylish cuff. Earrings complete the look with a pair of studs or hoops, adding a charming touch to your ensemble."
Hourglass,broad shoulders,kurti,short length,rounded,charms,drop earrings,Crop top,Bold necklace with charms bracelet and drop earrings
Pear-shaped,busted,t shirt,mid length,rounded,stacks,studs,"body-hugging, with a low neckline and long sleeves",simple
Hourglass,optional,kurti,sleeveless,rounded,stacks,jhumka,Straight,Necklace: chunky; Bracelet: cuff; Earrings: studs
Inverted triangle,busted,kurti,sleeveless,rounded,bangles,jhumka,Contrast Pocket,Glass bangles with jhumka
Hourglass,optional,kurti,short length,rounded,stacks,studs,simple designed kurti,simple design
Pear-shaped,busted,kurti,short length,rounded,stacks,drop earrings,Dress designed to give a flattering look to the body type with a V-neckline and a short sleeve length,"A minimalist accessory design with a single necklace, bracelet, and earrings"
Hourglass,optional,t shirt,short length,rounded,bangles,jhumka,"V neckline, boat neckline, crew neckline, scoop neckline, square neckline, halter neckline","Simple, formal, and simple"
Pear-shaped,optional,party wear,puffy shoulder,choker,bangles,jhumka,"Sweetheart neckline, puffy shoulder sleeves, and a long hemline","Long, dangling earrings with a classic choker necklace and bangles"
Rectangle,optional,party wear,short length,v shape,charms,studs,straight,Golden
Rectangle,busted,t shirt,short length,choker,stacks,studs,Empire waist,metallic and minimalist
Pear-shaped,busted,party wear,short length,choker,bangles,drop earrings,Body-con dress style with full sleeve,golden necklace and golden earrings with golden bangles
Pear-shaped,optional,party wear,one shouldered,v shape,stacks,studs,cold shoulder,Dress up your pear-shaped figure with glamourous pieces and bold colors
Hourglass,broad shoulders,party wear,short length,choker,bangles,studs,crop top and maxi skirt,multi-colour
Rectangle,busted,party wear,mid length,v shape,stacks,drop earrings,Curvy,"bracelet-gold bangle, earrings-huge hoops and necklace-statement necklace"
Rectangle,busted,kurti,sleeveless,v shape,charms,drop earrings,Feminine Design,Modern Design
Pear-shaped,optional,kurti,short length,rounded,bangles,jhumka,crop top,Simple and classy
Apple-shaped,optional,t shirt,short length,rounded,bangles,drop earrings,Straight or slight flare design,Simple
Hourglass,broad shoulders,kurti,sleeveless,rounded,stacks,drop earrings,"This dress is suitable for a Hourglass body type, it is a kurti and has sleeveless sleeves. It would look best with a rounded necklace, stacks of bracelets, and drop earrings.","This accessory design is suitable for a rounded necklace, stacks of bracelets, and drop earrings"
Pear-shaped,optional,party wear,short length,rounded,bangles,drop earrings,Off shoulder style,"Suitable accessory design for the given necklace, bracelet, and earrings is simple and elegant."
Pear-shaped,busted,t shirt,sleeveless,rounded,stacks,jhumka,Round neckline t shirt with boat neckline,Beautiful
Hourglass,optional,party wear,short length,v shape,bangles,studs,Low neckline,Family of earrings
Apple-shaped,busted,t shirt,mid length,rounded,charms,drop earrings,straight,multi-coloured
Pear-shaped,busted,kurti,full length,v shape,bangles,studs,Crop top with a deep V-neckline and a tie-up waist,A casual accessory design with a chain and a pendant
Rectangle,optional,t shirt,mid length,choker,stacks,studs,"Gathered, knee length, pearl necklace, studs",Stacks
Hourglass,busted,crop top,sleeveless,rounded,stacks,studs,Fitted with an empire waist and a scoop neckline,dangling earrings
Inverted triangle,busted,party wear,full length,choker,charms,studs,Short sleeves with high waist and round neckline,Chains and charms
Pear-shaped,optional,t shirt,full length,rounded,stacks,jhumka,"Dress Designs For Pear-Shaped Body Type, T Shirt, with Full-Length Sleeve","Accessory Designs For Rounded Necklace, Stacks Bracelet, and Jhumka Earrings"
Rectangle,optional,t shirt,one shouldered,choker,stacks,studs,t shirt dress with one shoulder,"Classic, Stacks"
Rectangle,optional,kurti,short length,choker,stacks,jhumka,Straight line dress design,Just regular earrings
Pear-shaped,busted,party wear,mid length,rounded,stacks,drop earrings,tight fitting,"statement necklace, cuff bracelets, and stud earrings"
Apple-shaped,optional,crop top,short length,rounded,bangles,studs,Narrow sleeves,Small and simple
Pear-shaped,busted,party wear,full length,v shape,charms,studs,"Suitable for body type: Pear-shaped, dress type: party wear, sleeve type: full length","Suitable for necklace: v shape, bracelet: charms, earrings: studs"
Hourglass,optional,party wear,puffy shoulder,rounded,charms,jhumka,A-line,cute
Hourglass,busted,party wear,sleeveless,choker,stacks,jhumka,Wear a clingy spaghetti strap dress for a fashionable outlook.,"Wear a stacked necklace with a choker, stacked bracelets, and jhumka earrings for a statement look."
Hourglass,optional,crop top,sleeveless,v shape,stacks,studs,V-neckline,"Studs, stacks and v-shape necklace"
Apple-shaped,optional,party wear,mid length,rounded,stacks,jhumka,a-line,minimal boho
Apple-shaped,busted,t shirt,mid length,v shape,stacks,jhumka,camisole top,"strand of pearls, gold chain with pendant, drop earrings"
Pear-shaped,busted,kurti,full length,rounded,stacks,studs,Sleeveless dress,Vintage rings
Hourglass,optional,t shirt,full length,rounded,charms,jhumka,Sweetheart Neckline Dress,Mismatched
Apple-shaped,busted,t shirt,sleeveless,rounded,stacks,drop earrings,Bodycon,minimalism
Inverted triangle,broad shoulders,party wear,puffy shoulder,rounded,stacks,studs,Cold shoulder or off-shoulder dress,simple
Hourglass,optional,party wear,mid length,v shape,stacks,drop earrings,Asymmetric,Let your earrings take the limelight
Hourglass,busted,party wear,sleeveless,v shape,charms,jhumka,Kurtis with slim fit,Modern
Pear-shaped,optional,t shirt,full length,rounded,bangles,studs,Bodycon,simple
Inverted triangle,optional,t shirt,sleeveless,choker,stacks,studs,Shoulder baring,bold statement
Pear-shaped,broad shoulders,party wear,short length,v shape,charms,jhumka,Gathered sleeve,"large hoops, charms and pendants"
Pear-shaped,optional,party wear,puffy shoulder,rounded,bangles,studs,"With a sleeve type of puffy shoulder, a dress design that would suit a pear-shaped body type with a dress type of party wear would be a dress with a skirt that is fitted or flared at the bottom, with a top that is loose-fitting and has a v-neck or scoop","With a necklace design of rounded, a bracelet design of bangles, and an earring design of studs, a suitable accessory design for a pear-shaped body type with a dress type of party wear and a sleeve type of puffy shoulder would be a pair of high heels and a clutch"
Pear-shaped,optional,party wear,puffy shoulder,rounded,stacks,drop earrings,Balanced,Low Key
Apple-shaped,busted,kurti,sleeveless,rounded,stacks,jhumka,"The dress design suitable for the given body type, dress type, and sleeve type is a fitted, brightly colored kurti with a round neckline and sleeveless sleeves. It can be paired with a statement necklace, stacked bracelets, and jhumka earrings for an eye-","The accessory design suitable for the given necklace, bracelet, and earrings is a mix of traditional and modern styles. A rounded, statement necklace can be paired with stacked bracelets that have intricate details and jhumka earrings that add a touch of glamour. The necklace"
Inverted triangle,broad shoulders,party wear,short length,choker,stacks,studs,Straight line,Modern
Pear-shaped,optional,party wear,short length,v shape,bangles,drop earrings,high neckline with short sleeves,"drop earrings, bangles, v shape"
Hourglass,broad shoulders,t shirt,full length,choker,stacks,drop earrings,"sweetheart neck, flare sleeves and side slit",subtle
Pear-shaped,busted,party wear,puffy shoulder,rounded,charms,drop earrings,"This dress is suitable for pear-shaped bodies. It is a party wear dress and has puffy shoulder sleeves. It is decorated with chain earrings, a bib necklace, and a chain bracelet.","The accessory design includes a bracelet with chain links, a necklace with a chain, and drop earrings."
Pear-shaped,broad shoulders,kurti,short length,rounded,stacks,studs,More fuller sleeves that will help you to look slimmer,"Earrings: studs, bracelet: stacks, necklace: rounded"
